2026-02-22 00:01:33 +00:00: [Opportunity] Outside market hours, skipping scan
2026-02-23 18:00:25 +00:00: [OpportunityDB] Saved scan: 50 opportunities, scanId=2286
2026-02-23 18:00:25 +00:00: [Opportunity] Persistence: CVNA:1(HC), PYPL:1(HC), XLP:1(HC), SLV:8(HC), IBRX:5(HC), PLTR:5(HC), NVDA:8(HC), ORCL:2(HC), SNDK:8(HC), XLU:1(HC), XLF:1(HC), MRNA:5(HC), AMZN:5(T), MSFT:5(T), TSLA:4(T), SPY:5(T), QQQ:5(T), IWM:2(T), GLD:8(T), IBIT:1(T), INTC:1(T), MU:6(T), OXY:5(T), GOOGL:8(T), AAPL:7(T), AMD:3(T), XLK:1(T), VNDA:6(T), OPEN:5(T), XLI:1(T), XLY:1(T), XLC:1(T), ETHA:1(T), F:1(T), PANW:1(T), UNG:1(T)
2026-02-23 18:00:25 +00:00: [Opportunity] Alerts sent: 0 (40 unique today)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated CVNA (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Added PYPL (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated XLP (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated SLV (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated IBRX (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated PLTR (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Skipped NVDA — manual entry protected (attempted by opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Added ORCL (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated SNDK (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated XLU (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated XLF (source: opportunity)
2026-02-23 18:00:25 +00:00: [Watchlist] Updated MRNA (source: opportunity)
2026-02-23 18:00:25 +00:00: [Opportunity] Added 12 symbols to Bloodhound watchlist
2026-02-23 18:00:25 +00:00: [Opportunity] Scan complete in 231s. Next scan at 2026-02-23T18:01:33.944Z
2026-02-23 18:01:33 +00:00: 
2026-02-23 18:01:33 +00:00: [Opportunity] ===== SCAN #90 =====
2026-02-23 18:01:33 +00:00: [Opportunity] Time: 2026-02-23T18:01:33.945Z
2026-02-23 18:01:34 +00:00: [Opportunity] VIX: 21.12 (elevated) | SPY: 682.34 (neutral)
2026-02-23 18:01:35 +00:00: [Opportunity] Discovery: 50 symbols from [core:3, watchlist:41, volume:10, gainers:8, losers:8, nasdaq:2, extremes:2, etf_categories:21]
2026-02-23 18:01:35 +00:00: [Opportunity] Discovery: 50 symbols in 1.5s
2026-02-23 18:01:35 +00:00: [Opportunity] Analyzing 50 symbols (sequential, ~110s est)...
2026-02-23 18:01:36 +00:00: [Opportunity] ORCL: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:01:37 +00:00: [Opportunity] PYPL: Score 80 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:01:37 +00:00: [Opportunity] PLTR: Score 75 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:01:38 +00:00: [Opportunity] AMZN: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:01:39 +00:00: [Opportunity] MSFT: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:01:40 +00:00: [Opportunity] TSLA: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:01:41 +00:00: [Opportunity] SPY: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 18:01:41 +00:00: [Opportunity] QQQ: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 18:01:42 +00:00: [Opportunity] IWM: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 18:01:43 +00:00: [Opportunity] NVDA: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader,nasdaq_mover]
2026-02-23 18:01:44 +00:00: [Opportunity] NFLX: Score 45 (WATCH) - bearish [volume_leader,gainer,loser]
2026-02-23 18:01:45 +00:00: [Opportunity] BAC: Score 45 (WATCH) - bearish [volume_leader,gainer,loser]
2026-02-23 18:01:46 +00:00: [Opportunity] XLC: Score 55 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 18:01:47 +00:00: [Opportunity] USO: Score 45 (WATCH) - bearish [watchlist,etf_commodities]
2026-02-23 18:01:48 +00:00: [Opportunity] UNG: Score 50 (TRADEABLE) - bullish [watchlist,etf_commodities]
2026-02-23 18:01:49 +00:00: [Opportunity] GLD: Score 65 (TRADEABLE) - neutral [watchlist,etf_commodities]
2026-02-23 18:01:49 +00:00: [Opportunity] XLP: Score 80 (HIGH_CONVICTION) - neutral [watchlist,etf_sectors]
2026-02-23 18:01:51 +00:00: [Opportunity] UVXY: Score 45 (WATCH) - bearish [watchlist,etf_volatility]
2026-02-23 18:01:52 +00:00: [Opportunity] SLV: Score 80 (HIGH_CONVICTION) - neutral [watchlist,etf_commodities]
2026-02-23 18:01:53 +00:00: [Opportunity] XLU: Score 70 (HIGH_CONVICTION) - bullish [watchlist,etf_sectors]
2026-02-23 18:01:54 +00:00: [Opportunity] ETHA: Score 55 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 18:01:54 +00:00: [Opportunity] XLK: Score 60 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 18:01:55 +00:00: [Opportunity] XLF: Score 70 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 18:01:56 +00:00: [Opportunity] IBIT: Score 65 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 18:01:57 +00:00: [Opportunity] INTC: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader]
2026-02-23 18:01:58 +00:00: [Opportunity] IBRX: Score 80 (HIGH_CONVICTION) - neutral [watchlist,nasdaq_mover]
2026-02-23 18:01:58 +00:00: [Opportunity] EEM: Score 45 (WATCH) - bullish [watchlist,52wk_extreme]
2026-02-23 18:01:59 +00:00: [Opportunity] XLE: Score 45 (WATCH) - bullish [52wk_extreme,etf_sectors]
2026-02-23 18:02:00 +00:00: [Opportunity] VNDA: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:02:01 +00:00: [Opportunity] F: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:02:02 +00:00: [Opportunity] OPEN: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:02:03 +00:00: [Opportunity] SMCI: Score 45 (WATCH) - bearish [watchlist]
2026-02-23 18:02:04 +00:00: [Opportunity] MU: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:02:05 +00:00: [Opportunity] OXY: Score 65 (TRADEABLE) - bearish [watchlist]
2026-02-23 18:02:05 +00:00: [Opportunity] CVNA: Score 90 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 18:02:06 +00:00: [Opportunity] SNDK: Score 75 (HIGH_CONVICTION) - bullish [watchlist]
2026-02-23 18:02:07 +00:00: [Opportunity] GOOGL: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:02:08 +00:00: [Opportunity] MRNA: Score 70 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 18:02:09 +00:00: [Opportunity] PANW: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:02:10 +00:00: [Opportunity] META: Score 45 (WATCH) - bullish [watchlist]
2026-02-23 18:02:10 +00:00: [Opportunity] AAPL: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 18:02:11 +00:00: [Opportunity] AMD: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 18:02:13 +00:00: [Opportunity] VXX: Score 45 (WATCH) - bullish [etf_volatility]
2026-02-23 18:02:14 +00:00: [Opportunity] XLI: Score 60 (TRADEABLE) - bearish [etf_sectors]
2026-02-23 18:02:16 +00:00: [Opportunity] XLV: Score 30 (WATCH) - bearish [etf_sectors]
2026-02-23 18:02:17 +00:00: [Opportunity] XLY: Score 60 (TRADEABLE) - bearish [etf_sectors]
2026-02-23 18:02:17 +00:00: [Opportunity] Results: 12 HIGH_CONVICTION, 24 TRADEABLE, 10 WATCH
2026-02-23 18:02:17 +00:00: [OpportunityDB] Saved scan: 50 opportunities, scanId=2287
2026-02-23 18:02:18 +00:00: [Telegram] Sent alert
2026-02-23 18:02:18 +00:00: [Opportunity] Sent Telegram alert for ORCL
2026-02-23 18:02:18 +00:00: [SignalDB] Alert inserted: OPPORTUNITY_FLOW - Opportunity HIGH_CONVICTION: ORCL score 75 (neutral)
2026-02-23 18:02:18 +00:00: [SignalDB] Inserted signal ORCL_1771869738939 @ $139.2615
2026-02-23 18:02:18 +00:00: [Signal Logger] Logged ORCL_1771869738939 @ $139.2615 (neutral, score 75)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated ORCL (source: signal_tracking)
2026-02-23 18:02:18 +00:00: [Opportunity] Persistence: CVNA:2(HC), PYPL:2(HC), XLP:2(HC), SLV:9(HC), IBRX:6(HC), ORCL:3(HC), PLTR:6(HC), NVDA:9(HC), SNDK:9(HC), XLU:2(HC), XLF:2(HC), MRNA:6(HC), AMZN:6(T), MSFT:6(T), TSLA:5(T), SPY:6(T), QQQ:6(T), IWM:3(T), GLD:9(T), IBIT:2(T), INTC:2(T), MU:7(T), OXY:6(T), GOOGL:9(T), AAPL:8(T), AMD:4(T), XLK:2(T), VNDA:7(T), OPEN:6(T), XLI:2(T), XLY:2(T), XLC:2(T), ETHA:2(T), F:2(T), PANW:2(T), UNG:2(T)
2026-02-23 18:02:18 +00:00: [Opportunity] Alerts sent: 1 (41 unique today)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated CVNA (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated PYPL (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated XLP (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated SLV (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated IBRX (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated ORCL (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated PLTR (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Skipped NVDA — manual entry protected (attempted by opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated SNDK (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated XLU (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated XLF (source: opportunity)
2026-02-23 18:02:18 +00:00: [Watchlist] Updated MRNA (source: opportunity)
2026-02-23 18:02:18 +00:00: [Opportunity] Added 12 symbols to Bloodhound watchlist
2026-02-23 18:02:18 +00:00: [Opportunity] Scan complete in 45s. Next scan at 2026-02-23T18:06:33.945Z
2026-02-23 18:06:33 +00:00: 
2026-02-23 18:06:33 +00:00: [Opportunity] ===== SCAN #91 =====
2026-02-23 18:06:33 +00:00: [Opportunity] Time: 2026-02-23T18:06:33.946Z
2026-02-23 18:06:34 +00:00: [Opportunity] VIX: 21.04 (elevated) | SPY: 682.52 (neutral)
2026-02-23 18:06:35 +00:00: [Opportunity] Discovery: 50 symbols from [core:3, watchlist:42, volume:10, gainers:8, losers:8, nasdaq:2, extremes:2, etf_categories:21]
2026-02-23 18:06:35 +00:00: [Opportunity] Discovery: 50 symbols in 1.5s
2026-02-23 18:06:35 +00:00: [Opportunity] Analyzing 50 symbols (sequential, ~110s est)...
2026-02-23 18:06:36 +00:00: [Opportunity] ORCL: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:06:37 +00:00: [Opportunity] PYPL: Score 80 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:06:42 +00:00: [Opportunity] PLTR: Score 75 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:06:47 +00:00: [Opportunity] AMZN: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:06:55 +00:00: [Opportunity] MSFT: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:07:08 +00:00: [Opportunity] TSLA: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:07:26 +00:00: [Opportunity] QQQ: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 18:07:26 +00:00: [Opportunity] IWM: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 18:07:29 +00:00: [Opportunity] NVDA: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader,nasdaq_mover]
2026-02-23 18:07:33 +00:00: [Opportunity] NFLX: Score 55 (TRADEABLE) - bearish [volume_leader,gainer,loser]
2026-02-23 18:07:35 +00:00: [Opportunity] BAC: Score 45 (WATCH) - bearish [volume_leader,gainer,loser]
2026-02-23 18:07:36 +00:00: [Opportunity] XLI: Score 60 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 18:07:37 +00:00: [Opportunity] XLC: Score 55 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 18:07:38 +00:00: [Opportunity] USO: Score 45 (WATCH) - bearish [watchlist,etf_commodities]
2026-02-23 18:07:39 +00:00: [Opportunity] UNG: Score 50 (TRADEABLE) - bullish [watchlist,etf_commodities]
2026-02-23 18:07:40 +00:00: [Opportunity] GLD: Score 65 (TRADEABLE) - neutral [watchlist,etf_commodities]
2026-02-23 18:07:41 +00:00: [Opportunity] XLP: Score 80 (HIGH_CONVICTION) - neutral [watchlist,etf_sectors]
2026-02-23 18:07:42 +00:00: [Opportunity] UVXY: Score 45 (WATCH) - bearish [watchlist,etf_volatility]
2026-02-23 18:07:43 +00:00: [Opportunity] SLV: Score 80 (HIGH_CONVICTION) - neutral [watchlist,etf_commodities]
2026-02-23 18:07:44 +00:00: [Opportunity] XLU: Score 70 (HIGH_CONVICTION) - bullish [watchlist,etf_sectors]
2026-02-23 18:07:45 +00:00: [Opportunity] ETHA: Score 55 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 18:07:46 +00:00: [Opportunity] XLK: Score 60 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 18:07:47 +00:00: [Opportunity] XLF: Score 70 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 18:07:47 +00:00: [Opportunity] IBIT: Score 65 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 18:07:48 +00:00: [Opportunity] INTC: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader]
2026-02-23 18:07:49 +00:00: [Opportunity] IBRX: Score 80 (HIGH_CONVICTION) - neutral [watchlist,nasdaq_mover]
2026-02-23 18:07:50 +00:00: [Opportunity] EEM: Score 45 (WATCH) - bullish [watchlist,52wk_extreme]
2026-02-23 18:07:51 +00:00: [Opportunity] XLE: Score 45 (WATCH) - bullish [52wk_extreme,etf_sectors]
2026-02-23 18:07:51 +00:00: [Opportunity] VNDA: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:07:52 +00:00: [Opportunity] F: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:07:53 +00:00: [Opportunity] OPEN: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:07:54 +00:00: [Opportunity] SMCI: Score 45 (WATCH) - bearish [watchlist]
2026-02-23 18:07:55 +00:00: [Opportunity] MU: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:07:56 +00:00: [Opportunity] OXY: Score 65 (TRADEABLE) - bearish [watchlist]
2026-02-23 18:07:57 +00:00: [Opportunity] CVNA: Score 90 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 18:07:58 +00:00: [Opportunity] SNDK: Score 75 (HIGH_CONVICTION) - bullish [watchlist]
2026-02-23 18:07:58 +00:00: [Opportunity] GOOGL: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:07:59 +00:00: [Opportunity] MRNA: Score 70 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 18:08:00 +00:00: [Opportunity] PANW: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:08:01 +00:00: [Opportunity] META: Score 45 (WATCH) - bullish [watchlist]
2026-02-23 18:08:02 +00:00: [Opportunity] AAPL: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 18:08:03 +00:00: [Opportunity] AMD: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 18:08:05 +00:00: [Opportunity] VXX: Score 45 (WATCH) - bullish [etf_volatility]
2026-02-23 18:08:07 +00:00: [Opportunity] XLV: Score 30 (WATCH) - bearish [etf_sectors]
2026-02-23 18:08:08 +00:00: [Opportunity] XLY: Score 60 (TRADEABLE) - bearish [etf_sectors]
2026-02-23 18:08:08 +00:00: [Opportunity] Results: 12 HIGH_CONVICTION, 24 TRADEABLE, 9 WATCH
2026-02-23 18:08:08 +00:00: [OpportunityDB] Saved scan: 50 opportunities, scanId=2288
2026-02-23 18:08:10 +00:00: [Telegram] Sent alert
2026-02-23 18:08:10 +00:00: [Opportunity] Sent Telegram alert for PYPL
2026-02-23 18:08:10 +00:00: [SignalDB] Alert inserted: OPPORTUNITY_FLOW - Opportunity HIGH_CONVICTION: PYPL score 80 (bullish)
2026-02-23 18:08:10 +00:00: [SignalDB] Inserted signal PYPL_1771870090172 @ $44.1102
2026-02-23 18:08:10 +00:00: [Signal Logger] Logged PYPL_1771870090172 @ $44.1102 (bullish, score 80)
2026-02-23 18:08:10 +00:00: [Watchlist] Updated PYPL (source: signal_tracking)
2026-02-23 18:08:11 +00:00: [Telegram] Sent alert
2026-02-23 18:08:11 +00:00: [Opportunity] Sent Telegram alert for XLU
2026-02-23 18:08:11 +00:00: [SignalDB] Alert inserted: OPPORTUNITY_FLOW - Opportunity HIGH_CONVICTION: XLU score 70 (bullish)
2026-02-23 18:08:11 +00:00: [Signal Logger] XLU conditions changed on existing signal:
2026-02-23 18:08:11 +00:00:   Score: 25 → 70 (+45)
2026-02-23 18:08:11 +00:00:   Zone: BUY_ZONE → null
2026-02-23 18:08:11 +00:00:   Direction: bearish → bullish
2026-02-23 18:08:11 +00:00: [Signal Logger] XLU tier promoted: WATCH → HIGH_CONVICTION (score: 70)
2026-02-23 18:08:11 +00:00: [Telegram] Sent alert
2026-02-23 18:08:11 +00:00: [Opportunity] Sent Telegram alert for XLF
2026-02-23 18:08:11 +00:00: [SignalDB] Alert inserted: OPPORTUNITY_FLOW - Opportunity HIGH_CONVICTION: XLF score 70 (bullish)
2026-02-23 18:08:11 +00:00: [SignalDB] Inserted signal XLF_1771870091454 @ $50.785
2026-02-23 18:08:11 +00:00: [Signal Logger] Logged XLF_1771870091454 @ $50.785 (bullish, score 70)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated XLF (source: signal_tracking)
2026-02-23 18:08:11 +00:00: [Telegram] Sent alert
2026-02-23 18:08:11 +00:00: [Opportunity] Sent Telegram alert for XLK
2026-02-23 18:08:11 +00:00: [SignalDB] Alert inserted: OPPORTUNITY_FLOW - Opportunity TRADEABLE: XLK score 60 (bullish)
2026-02-23 18:08:11 +00:00: [Signal Logger] XLK conditions changed on existing signal:
2026-02-23 18:08:11 +00:00:   Score: 35 → 60 (+25)
2026-02-23 18:08:11 +00:00:   Zone: BUY_ZONE → null
2026-02-23 18:08:11 +00:00: [Opportunity] Persistence: CVNA:3(HC), PYPL:3(HC), XLP:3(HC), SLV:10(HC), IBRX:7(HC), ORCL:4(HC), PLTR:7(HC), NVDA:10(HC), SNDK:10(HC), XLU:3(HC), XLF:3(HC), MRNA:7(HC), AMZN:7(T), MSFT:7(T), TSLA:6(T), QQQ:7(T), IWM:4(T), GLD:10(T), IBIT:3(T), INTC:3(T), MU:8(T), OXY:7(T), GOOGL:10(T), AAPL:9(T), AMD:5(T), XLI:3(T), XLK:3(T), VNDA:8(T), OPEN:7(T), XLY:3(T), NFLX:1(T), XLC:3(T), ETHA:3(T), F:3(T), PANW:3(T), UNG:3(T)
2026-02-23 18:08:11 +00:00: [Opportunity] Alerts sent: 4 (45 unique today)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated CVNA (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated PYPL (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated XLP (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated SLV (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated IBRX (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated ORCL (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated PLTR (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Skipped NVDA — manual entry protected (attempted by opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated SNDK (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated XLU (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated XLF (source: opportunity)
2026-02-23 18:08:11 +00:00: [Watchlist] Updated MRNA (source: opportunity)
2026-02-23 18:08:11 +00:00: [Opportunity] Added 12 symbols to Bloodhound watchlist
2026-02-23 18:08:11 +00:00: [Opportunity] Scan complete in 98s. Next scan at 2026-02-23T18:11:33.946Z
2026-02-23 18:11:33 +00:00: 
2026-02-23 18:11:33 +00:00: [Opportunity] ===== SCAN #92 =====
2026-02-23 18:11:33 +00:00: [Opportunity] Time: 2026-02-23T18:11:33.947Z
2026-02-23 18:11:34 +00:00: [Opportunity] VIX: 20.97 (elevated) | SPY: 682.67 (neutral)
2026-02-23 18:11:36 +00:00: [Opportunity] Discovery: 50 symbols from [core:3, watchlist:42, volume:10, gainers:8, losers:8, nasdaq:2, extremes:2, etf_categories:21]
2026-02-23 18:11:36 +00:00: [Opportunity] Discovery: 50 symbols in 1.7s
2026-02-23 18:11:36 +00:00: [Opportunity] Analyzing 50 symbols (sequential, ~110s est)...
2026-02-23 18:11:41 +00:00: [Opportunity] ORCL: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:11:43 +00:00: [Opportunity] PYPL: Score 80 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:11:45 +00:00: [Opportunity] PLTR: Score 75 (HIGH_CONVICTION) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:11:46 +00:00: [Opportunity] AMZN: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:11:46 +00:00: [Opportunity] MSFT: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader,gainer,loser]
2026-02-23 18:11:47 +00:00: [Opportunity] TSLA: Score 65 (TRADEABLE) - neutral [watchlist,volume_leader,gainer,loser]
2026-02-23 18:11:51 +00:00: [Opportunity] SPY: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 18:11:52 +00:00: [Opportunity] QQQ: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 18:11:57 +00:00: [Opportunity] IWM: Score 65 (TRADEABLE) - neutral [core,watchlist]
2026-02-23 18:11:57 +00:00: [Opportunity] NVDA: Score 75 (HIGH_CONVICTION) - neutral [watchlist,volume_leader,nasdaq_mover]
2026-02-23 18:11:58 +00:00: [Opportunity] BAC: Score 45 (WATCH) - bearish [volume_leader,gainer,loser]
2026-02-23 18:11:59 +00:00: [Opportunity] NFLX: Score 55 (TRADEABLE) - bearish [volume_leader,gainer,loser]
2026-02-23 18:12:02 +00:00: [Opportunity] XLI: Score 70 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 18:12:06 +00:00: [Opportunity] XLC: Score 55 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 18:12:09 +00:00: [Opportunity] USO: Score 45 (WATCH) - bearish [watchlist,etf_commodities]
2026-02-23 18:12:12 +00:00: [Opportunity] UNG: Score 50 (TRADEABLE) - bullish [watchlist,etf_commodities]
2026-02-23 18:12:16 +00:00: [Opportunity] GLD: Score 65 (TRADEABLE) - neutral [watchlist,etf_commodities]
2026-02-23 18:12:18 +00:00: [Opportunity] XLP: Score 90 (HIGH_CONVICTION) - neutral [watchlist,etf_sectors]
2026-02-23 18:12:24 +00:00: [Opportunity] UVXY: Score 45 (WATCH) - bearish [watchlist,etf_volatility]
2026-02-23 18:12:27 +00:00: [Opportunity] SLV: Score 80 (HIGH_CONVICTION) - neutral [watchlist,etf_commodities]
2026-02-23 18:12:30 +00:00: [Opportunity] XLU: Score 70 (HIGH_CONVICTION) - bullish [watchlist,etf_sectors]
2026-02-23 18:12:34 +00:00: [Opportunity] ETHA: Score 50 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 18:12:38 +00:00: [Opportunity] XLK: Score 60 (TRADEABLE) - bearish [watchlist,etf_sectors]
2026-02-23 18:12:41 +00:00: [Opportunity] XLF: Score 70 (HIGH_CONVICTION) - bearish [watchlist,etf_sectors]
2026-02-23 18:12:47 +00:00: [Opportunity] IBIT: Score 65 (TRADEABLE) - bearish [watchlist,etf_crypto]
2026-02-23 18:12:50 +00:00: [Opportunity] INTC: Score 65 (TRADEABLE) - bullish [watchlist,volume_leader]
2026-02-23 18:12:52 +00:00: [Opportunity] IBRX: Score 80 (HIGH_CONVICTION) - neutral [watchlist,nasdaq_mover]
2026-02-23 18:12:55 +00:00: [Opportunity] EEM: Score 45 (WATCH) - bullish [watchlist,52wk_extreme]
2026-02-23 18:12:57 +00:00: [Opportunity] XLE: Score 45 (WATCH) - bullish [52wk_extreme,etf_sectors]
2026-02-23 18:12:59 +00:00: [Opportunity] VNDA: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:13:00 +00:00: [Opportunity] F: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:13:03 +00:00: [Opportunity] OPEN: Score 60 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:13:07 +00:00: [Opportunity] SMCI: Score 45 (WATCH) - bearish [watchlist]
2026-02-23 18:13:13 +00:00: [Opportunity] MU: Score 75 (HIGH_CONVICTION) - bullish [watchlist]
2026-02-23 18:13:15 +00:00: [Opportunity] OXY: Score 65 (TRADEABLE) - bearish [watchlist]
2026-02-23 18:13:19 +00:00: [Opportunity] CVNA: Score 80 (HIGH_CONVICTION) - neutral [watchlist]
2026-02-23 18:13:22 +00:00: [Opportunity] SNDK: Score 75 (HIGH_CONVICTION) - bullish [watchlist]
2026-02-23 18:13:29 +00:00: [Opportunity] GOOGL: Score 65 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:13:32 +00:00: [Opportunity] MRNA: Score 55 (TRADEABLE) - bearish [watchlist]
2026-02-23 18:13:45 +00:00: [Opportunity] PANW: Score 55 (TRADEABLE) - bullish [watchlist]
2026-02-23 18:13:50 +00:00: [Opportunity] META: Score 40 (WATCH) - bullish [watchlist]
2026-02-23 18:13:59 +00:00: [Opportunity] AAPL: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 18:14:04 +00:00: [Opportunity] AMD: Score 65 (TRADEABLE) - neutral [watchlist]
2026-02-23 18:14:12 +00:00: [Opportunity] VXX: Score 40 (WATCH) - bullish [etf_volatility]
2026-02-23 18:14:21 +00:00: [Opportunity] XLV: Score 30 (WATCH) - bearish [etf_sectors]
